PParent,Parent,ObjectName,dist-X,dist-Y,Z
Group 17,Outer_Section_2,2_1 LED 3,1.954697,93.10004,8.389832
Group 17,Outer_Section_2,2_1 LED 4,-2.920349,179.9,-16.3414
Group 17,Outer_Section_2,2_1 Speaker 1,-0.7922516,131.7,-6.357849
Group 17,Outer_Section_2,2_1 Speaker 2,3.634155,75.59998,17.53748
Group 17,Inner_Section,2_1 LED 1,-6.387756,140.4,23.10425
Group 17,Inner_Section,2_1 LED 2,2.809418,189.5,-22.11689
Group 17,Inner_Section,2_1 LED 3,17.58072,182.8,16.3988
Group 17,Inner_Section,2_1 LED 4,-14.16119,217.4,-17.15221
Group 17,Inner_Section,2_1 Speaker 1,-2.784012,196.2,-8.733185
Group 17,Inner_Section,2_1 Speaker 2,0.9599915,176.7,10.91324
